credit_id,customer_id,credit_state,reserved_date,consumed_date,id_request
C1001-27734,1001,available,,,
C1001-27735,1001,available,,,
C1001-27736,1001,available,,,
C1001-27737,1001,available,,,
C1001-27738,1001,available,,,
C1001-27739,1001,available,,,
C1001-27740,1001,available,,,
C1001-27741,1001,available,,,
C1001-27742,1001,available,,,
C1001-27743,1001,available,,,
C1001-27744,1001,available,,,
C1001-27745,1001,available,,,
C1001-27746,1001,available,,,
C1001-27747,1001,available,,,
C1001-27748,1001,available,,,
C1001-27749,1001,available,,,
C1001-27750,1001,available,,,
C1001-27751,1001,available,,,
C1001-27752,1001,available,,,
C1001-27753,1001,available,,,
C1001-27754,1001,available,,,
C1001-27755,1001,available,,,
C1001-27756,1001,available,,,
C1001-27757,1001,available,,,
C1001-27758,1001,available,,,
C1001-27759,1001,available,,,
C1001-27760,1001,available,,,
C1001-27761,1001,available,,,
C1001-27762,1001,available,,,
C1001-27763,1001,available,,,
C1001-27764,1001,available,,,
C1001-27765,1001,available,,,
C1001-27766,1001,available,,,
C1001-27767,1001,available,,,
C1001-27768,1001,available,,,
C1001-27769,1001,available,,,
C1001-27770,1001,available,,,
C1001-27771,1001,available,,,
C1001-27772,1001,available,,,
C1002-64206,1002,available,,,
C1002-64207,1002,available,,,
C1002-64208,1002,available,,,
C1002-64209,1002,available,,,
C1002-64210,1002,available,,,
C1002-64211,1002,available,,,
C1002-64212,1002,available,,,
C1002-64213,1002,available,,,
C1002-64214,1002,available,,,
C1002-64215,1002,available,,,
C1002-64216,1002,available,,,
C1002-64217,1002,available,,,
C1002-64218,1002,consumed,2024-11-27,2024-12-12,REQ00344
C1002-64219,1002,consumed,2024-07-02,2024-07-17,REQ00436
C1002-64220,1002,consumed,2024-07-25,2024-08-23,REQ00421
C1002-64221,1002,consumed,2024-04-02,2024-04-11,REQ00421
C1002-64222,1002,consumed,2024-06-16,2024-07-09,REQ00436
C1002-64223,1002,consumed,2024-05-06,2024-05-09,REQ00344
C1002-64224,1002,consumed,2025-04-05,2025-04-26,REQ00421
C1002-64225,1002,consumed,2024-03-28,2024-04-14,REQ00436
C1002-64226,1002,consumed,2025-01-28,2025-02-21,REQ00436
C1002-64227,1002,consumed,2025-09-18,2025-09-24,REQ00421
C1002-64228,1002,consumed,2025-07-17,2025-07-30,REQ00344
C1002-64229,1002,consumed,2024-06-23,2024-07-23,REQ00421
C1002-64230,1002,consumed,2025-08-02,2025-08-30,REQ00436
C1002-64231,1002,consumed,2024-06-02,2024-06-08,REQ00344
C1002-64232,1002,consumed,2024-07-02,2024-07-27,REQ00436
C1002-64233,1002,consumed,2024-02-22,2024-03-07,REQ00421
C1002-64234,1002,consumed,2024-11-12,2024-12-06,REQ00421
C1002-64235,1002,consumed,2024-10-22,2024-11-12,REQ00344
C1003-27245,1003,available,,,
C1003-27246,1003,available,,,
C1003-27247,1003,reserved,2024-07-26,,REQ00485
C1003-27248,1003,reserved,2025-09-29,,REQ00485
C1003-27249,1003,reserved,2024-01-13,,REQ00485
C1003-27250,1003,reserved,2025-05-24,,REQ00485
C1003-27251,1003,consumed,2025-07-10,2025-08-05,REQ00485
C1003-27252,1003,consumed,2025-09-14,2025-10-13,REQ00485
C1003-27253,1003,consumed,2024-08-31,2024-09-07,REQ00485
C1003-27254,1003,consumed,2025-04-09,2025-04-23,REQ00485
C1003-27255,1003,consumed,2024-03-22,2024-04-11,REQ00485
C1003-27256,1003,consumed,2024-09-07,2024-10-06,REQ00485
C1004-37215,1004,available,,,
C1004-37216,1004,available,,,
C1004-37217,1004,available,,,
C1004-37218,1004,available,,,
C1004-37219,1004,consumed,2024-02-20,2024-02-26,REQ00251
C1004-37220,1004,consumed,2024-02-26,2024-03-18,REQ00275
C1004-37221,1004,consumed,2024-02-07,2024-02-12,REQ00251
C1004-37222,1004,consumed,2025-08-14,2025-09-10,REQ00275
C1004-37223,1004,consumed,2024-12-05,2025-01-04,REQ00251
C1004-37224,1004,consumed,2024-02-20,2024-02-24,REQ00275
C1004-37225,1004,consumed,2024-07-01,2024-07-07,REQ00275
C1004-37226,1004,consumed,2025-09-17,2025-10-09,REQ00251
C1004-37227,1004,consumed,2025-04-11,2025-05-05,REQ00275
C1004-37228,1004,consumed,2024-02-06,2024-02-09,REQ00275
C1004-37229,1004,consumed,2024-11-26,2024-12-08,REQ00275
C1004-37230,1004,consumed,2024-03-10,2024-04-04,REQ00275
C1004-37231,1004,consumed,2025-07-17,2025-07-20,REQ00275
C1004-37232,1004,consumed,2025-04-27,2025-05-02,REQ00251
C1004-37233,1004,consumed,2024-10-08,2024-10-19,REQ00275
C1004-37234,1004,consumed,2025-06-21,2025-06-28,REQ00251
C1004-37235,1004,consumed,2025-09-18,2025-09-20,REQ00251
